y_pred_proba,y_true
0.75344497,1
0.87821704,1
0.6799818,1
0.86385536,1
0.6770259,0
0.8196561,0
0.3943784,0
0.7129942,1
0.7417292,1
0.82693905,1
0.76765305,1
0.8226208,1
0.87698144,1
0.45584944,0
0.79733545,1
0.6691197,1
0.28322783,0
0.8628378,1
0.44372353,1
0.8744183,1
0.756172,1
0.8397014,1
0.84805304,1
0.570715,0
0.839467,1
0.8647368,1
0.5355953,1
0.8709439,1
0.51350415,0
0.4659311,0
0.84939504,1
0.8719966,1
0.7842486,0
0.7104992,0
0.29763412,1
0.5877692,1
0.86757886,1
0.62361157,1
0.58358866,1
0.8634724,0
0.39698792,1
0.30074733,0
0.8733583,1
0.87343925,1
0.2557012,0
0.24430092,0
0.86809033,1
0.58158034,0
0.8756875,1
0.69118506,1
0.8533421,1
0.32375878,0
0.85951585,1
0.29566643,1
0.22508791,0
0.8764444,1
0.7923353,1
0.32631657,0
0.21353692,0
0.5124773,1
0.22753036,0
0.7995625,1
0.30546597,1
0.42692602,1
0.86117965,1
0.19165805,0
0.8473771,1
0.6299077,1
0.66263753,0
0.8721926,1
0.6543242,1
0.8767488,1
0.88458145,1
0.17348467,0
0.42450827,1
0.84222233,0
0.6089333,0
0.350438,0
0.79417735,0
0.84336364,1
0.2068325,0
0.84739196,1
0.65619564,0
0.38462615,0
0.7567431,1
0.80929685,1
0.24211967,0
0.8623077,1
0.84988827,1
0.8280765,0
0.8177636,1
0.3464446,0
0.85992855,1
0.87930614,1
0.6809778,0
0.39815596,0
0.8658213,1
0.51049703,0
0.84526896,1
0.8184355,1
0.8241713,1
0.31625533,1
0.83937085,1
0.78051144,1
0.85824245,1
0.47762352,0
0.6660829,1
0.8396443,1
0.3777711,0
0.39653,1
0.850518,1
0.20690055,0
0.88515145,1
0.87571406,1
0.1935489,0
0.8279959,1
0.658991,0
0.22717845,0
0.5282488,1
0.77860457,1
0.8522975,1
0.6335032,1
0.50445336,0
0.6656207,0
0.69430923,0
0.79733807,1
0.8516879,1
0.8593089,1
0.23252879,0
0.25581217,0
0.8474177,1
0.8579574,1
0.5570948,0
0.8669524,1
0.86564213,1
0.21068718,0
0.8760954,1
0.4874828,0
0.81108165,1
0.87433493,1
0.28027436,0
0.87674344,1
0.87308013,1
0.65237045,1
0.8727394,1
0.8610585,1
0.18529037,0
0.85879445,1
0.7980562,1
0.8567028,1
0.8804103,1
0.3808758,0
0.76852417,1
0.359166,1
0.8786284,1
0.2869426,0
0.83065444,1
0.7501519,1
0.5887761,1
0.8213641,1
0.73157525,0
0.46240303,0
0.73874027,1
0.7319029,1
0.21942043,0
0.21560611,0
0.77016705,1
0.85612744,1
0.82468235,1
0.6226224,1
0.354262,0
0.869033,1
0.39776412,0
0.40422863,0
0.7807278,1
0.30992222,0
0.7721652,1
0.8641829,1
0.8435441,1
0.53154457,0
0.8735952,1
0.758426,1
0.88633984,1
0.48504028,0
0.8737712,1
0.8775482,1
0.7969383,1
0.79877424,1
0.3787601,0
0.80313945,0
0.71856004,1
0.38833657,0
0.40191922,0
0.82079214,1
0.43488264,1
0.8827554,1
0.23689193,0
0.88350356,1
0.8079753,1
0.5912413,0
0.72561544,1
0.39448798,0
0.5240736,0
0.8697146,1
0.8869528,1
0.8396933,1
0.7796739,0
0.86011684,1
0.78469193,1
0.5755582,0
0.8790033,1
0.8844664,1
0.44761574,0
0.8771156,1
0.85870695,1
0.8792167,1
0.73571485,1
0.36494815,0
0.24384914,0
0.798551,1
0.53947294,1
0.8631785,1
0.81456214,1
0.6796687,0
0.2086267,0
0.6592897,0
0.20186786,0
0.5125424,1
0.8561366,1
0.5104684,0
0.34949043,0
0.87417036,1
0.25212762,1
0.8730042,1
0.8784117,1
0.870757,1
0.16233253,0
0.8832675,1
0.8714298,1
0.87162733,1
0.85818756,1
0.88266414,1
0.8812257,1
0.805828,1
0.8684848,1
0.8512228,1
0.19605884,0
0.35147583,1
0.32659823,0
0.87251323,1
0.8661263,1
0.86710143,1
0.2176977,0
0.86841553,1
0.8874736,1
0.22932921,0
0.69825774,1
0.25777638,0
0.879485,1
0.7317242,1
0.88245946,1
0.35515085,0
0.5150839,1
0.87608325,1
0.5824677,0
0.30689642,0
0.42494476,1
0.827574,1
0.6649397,1
0.31102642,0
0.3772748,0
0.22941068,0
0.8681391,1
0.23156692,0
0.38654056,0
0.8381053,1
0.8125884,1
0.60400665,0
0.22546539,0
0.8602432,1
0.41361272,0
0.4691912,0
0.52817273,1
0.578195,0
0.65192163,1
0.8479041,1
0.7318437,1
0.8117676,1
0.8332665,1
0.8554948,1
0.80097884,1
0.82219464,1
0.86344534,1
0.8755947,1
0.7571748,1
0.85903287,1
0.86740345,1
0.28776824,1
0.38809592,0
0.85264176,1
0.87589675,1
0.29525113,0
0.7722666,1
0.8575839,1
0.8606186,0
0.8640868,1
0.8173935,1
0.6740886,0
0.8481831,1
0.74114335,1
0.8545622,1
0.47837195,0
0.79980993,1
0.8688357,1
0.8251832,1
0.8720327,1
0.71542937,1
0.871203,1
0.84756565,0
0.873481,1
0.7110618,1
0.85397637,1
0.8102009,1
0.81822246,1
0.6848916,1
0.63693213,1
0.7463049,1
0.705951,1
0.4260813,0
0.34462008,0
0.32741144,0
0.8630206,1
0.5711618,1
0.85271543,1
0.81899184,1
0.57897717,0
0.85954344,1
0.7994706,1
0.41818115,0
0.57271737,1
0.89033645,1
0.8561092,1
0.26236105,0
0.8365338,1
0.21959156,0
0.8430579,1
0.86717695,1
0.85836,1
0.8705649,1
0.8144699,1
0.33375475,0
0.7403244,1
0.87570924,1
0.24496232,0
0.3578953,0
0.8715042,1
0.68502694,1
0.8717894,1
0.826583,1
0.8125749,1
0.81435466,1
0.882106,1
0.19621338,0
0.86203235,1
0.872277,1
0.5608153,0
0.8713022,1
0.8241948,0
0.8714414,1
0.8726892,1
0.8707658,1
0.4901,0
0.85762024,1
0.87311405,1
0.8610824,1
0.8805618,1
0.86600655,1
0.8746055,1
0.8879641,1
0.8669009,1
0.86036515,1
0.8828681,1
0.86381835,1
0.86937374,1
0.24903736,0
0.8138237,1
0.6418163,1
0.74155915,0
0.8726876,1
0.7689201,1
0.8493978,1
0.680926,1
0.7796018,1
0.74380475,1
0.8739987,1
0.84491116,0
0.85429317,1
0.8554351,1
0.73332906,1
0.35280594,0
0.6501945,1
0.8874677,1
0.87590283,1
0.7453175,1
0.7058637,1
0.851983,1
0.8424261,1
0.44520545,1
0.7957249,1
0.87672025,1
0.82454634,1
0.85700834,1
0.87635237,1
0.7795606,1
0.39786345,1
0.4445681,1
0.8730796,1
0.78140455,1
0.8715338,1
0.871002,1
0.8616954,1
0.7090052,1
0.86810553,1
0.85850614,1
0.8807945,1
0.8537235,1
0.437398,1
0.70863783,1
0.2779305,0
0.87553495,1
0.4074794,0
0.8358519,1
0.2047208,0
0.24790916,0
0.8638561,1
0.6917436,1
0.62609744,0
0.35631838,0
0.8720838,1
0.65310365,1
0.6058475,1
0.769118,1
0.8391986,1
0.8647233,1
0.8077504,1
0.50129896,1
0.7189168,1
0.72894794,1
0.8742088,1
0.80361784,1
0.4573501,1
0.5183985,0
0.2976899,0
0.48222777,0
0.8496295,1
0.23544478,0
0.8579193,1
0.2417515,0
0.2739694,0
0.5043962,1
0.34438795,0
0.8349062,1
0.2335033,1
0.8188837,1
0.2659459,0
0.79453015,1
0.19736965,0
0.83436406,1
0.6731718,0
0.25206354,1
0.62725055,1
0.2443313,0
0.43211693,0
0.71326184,1
0.87046367,1
0.2892819,0
0.55533826,1
0.66507244,1
0.3412254,0
0.83775616,1
0.81242454,0
0.8552632,1
0.84394485,1
0.7838951,1
0.48498702,1
0.8640874,1
0.8530058,1
0.81662476,1
0.6936624,1
0.7706825,1
0.8584991,1
0.37187278,1
0.2757902,0
0.73518705,1
0.21242459,0
0.7202699,1
0.26851463,1
0.17034537,0
0.864513,1
0.8540184,1
0.19411354,0
0.18899536,0
0.5353229,1
0.4744582,1
0.25500977,0
0.87573147,1
0.40712512,1
0.2565965,0
0.8476332,1
0.43815508,0
0.5910507,0
0.21977714,0
0.7482669,1
0.48596784,1
0.8583282,1
0.85517406,1
0.84391606,1
0.8382054,1
0.85260314,1
0.62651676,0
0.8445966,1
0.21540008,0
0.30861798,1
0.76031137,1
0.583404,0
0.50777256,1
0.5935719,1
0.71443355,1
0.8685293,1
0.80163234,1
0.87992245,1
0.74747634,1
0.8562994,1
0.40945464,0
0.6826443,0
0.88821954,1
0.879512,1
0.4299683,0
0.2948974,0
0.23556079,0
0.62981135,0
0.7837147,0
0.5549354,0
0.8400598,1
0.2445929,1
0.380201,0
0.7702888,0
0.38049093,1
0.7793151,0
0.69349945,0
0.8031752,1
0.4125946,0
0.7820936,1
0.6272103,1
